case_dt,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baselin,transit_stations_percent_change_from_baseline,Workplaces_percent_change_from_baseline,Residential_percent_change_from_baseline,Report_dt
2020/02/15,6.4383116,2.3790421,16.656366,4.305752,0.44095594,-0.5507726,136
2020/02/16,7.986545,2.5105286,17.794573,3.7502635,0.48375812,-0.6622114,63
2020/02/17,3.8659241,-0.3452728,27.884323,1.8092933,-17.582155,4.3639455,116
2020/02/18,-0.19312602,-1.2695361,5.355491,2.2435284,-0.0054904833,0.794598,132
2020/02/19,2.079837,0.5790795,7.988456,2.4743347,0.8844607,0.17734909,126
2020/02/20,0.17914654,-0.1536232,-1.2513587,1.9449716,-0.33820307,1.1409608,186
2020/02/21,2.5820189,-1.5315641,6.473965,3.4838412,0.5003734,0.73315895,149
2020/02/22,8.164094,3.5135467,35.312252,6.435923,3.061292,-1.1021739,135
2020/02/23,8.602704,3.98232,32.05476,6.7689033,2.4964788,-0.81763285,162
2020/02/24,1.6414704,0.11838266,7.1897287,0.9054054,2.8288987,0.38846642,283
2020/02/25,4.5433717,0.7748012,8.074405,2.2634099,1.1790553,0.17399497,226
2020/02/26,10.858083,3.8829207,4.8804035,4.705939,1.5668254,-0.47198007,286
2020/02/27,10.156224,3.5636742,10.209701,5.8293614,0.59721714,-0.10631645,276
2020/02/28,10.834986,5.35607,11.9720745,7.537815,2.2427185,-1.0451905,430
2020/02/29,14.697267,8.230611,22.886076,9.908537,2.9537735,-1.9750272,314
2020/03/01,19.60967,11.761384,30.420547,12.181622,3.5274558,-1.6366906,1184
2020/03/02,10.576843,5.771393,12.113235,3.2378168,3.5757127,-0.5214376,821
2020/03/03,16.065063,11.135976,21.627907,4.630456,1.7302053,-0.807094,903
2020/03/04,11.610561,6.9468355,19.575075,5.01537,2.0193996,-0.61001235,980
2020/03/05,11.003258,7.597234,20.21534,6.2647057,1.8702822,-0.6176837,1055
